In order to load the library 'toscomm' Java tries to locate the file 'libtoscomm.so' in one of the following paths:
/usr/java/packages/lib/i386:/usr/lib/i386-linux-gnu/jni:/lib/i386-linux-gnu:/usr/lib/i386-linux-gnu:/usr/lib/jni:/lib:/usr/lib

The operating system is 'Linux' (i386)

Trying to locate the file 'linux_x86_toscomm.lib' in the classpath
Temporary file created: '/tmp/toscomm3208724537864385529.lib'
Library copied successfully. Let's load it.
Library loaded successfully
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 85 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 86 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 87 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 88 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 8D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 8E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 8F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 90 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 91 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 92 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 93 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 94 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 96 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 97 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 98 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 99 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 9B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 9C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 9F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 A0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 A2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 A4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 A5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 A6 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 A7 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 A8 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 A9 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 AB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 AF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 B0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 B1 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 B2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 B3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 B4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 B5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 B6 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 BB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 BC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 BE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 C0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 C3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 C5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 C6 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 CB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 CC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 CD 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 D0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 D1 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 D2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 D3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 D7 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 DD 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 DE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 DF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 E4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 E9 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 EB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 FC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 FD 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 FE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 04 FF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 03 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 06 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 07 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 08 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 09 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 18 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 19 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 1A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 1C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 1D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 1E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 22 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 28 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 29 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 32 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 46 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 48 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 4E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 05 54 00 00 00 00 
