In order to load the library 'toscomm' Java tries to locate the file 'libtoscomm.so' in one of the following paths:
/usr/java/packages/lib/i386:/usr/lib/i386-linux-gnu/jni:/lib/i386-linux-gnu:/usr/lib/i386-linux-gnu:/usr/lib/jni:/lib:/usr/lib

The operating system is 'Linux' (i386)

Trying to locate the file 'linux_x86_toscomm.lib' in the classpath
Temporary file created: '/tmp/toscomm1085399509648321212.lib'
Library copied successfully. Let's load it.
Library loaded successfully
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 60 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 61 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 62 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 63 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 64 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 65 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 66 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 67 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 68 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 69 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 6A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 6B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 70 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 71 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 72 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 73 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 74 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 75 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 76 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 77 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 78 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 79 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 7A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 7B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 7C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 7D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 7E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 7F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 80 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 81 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 82 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 83 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 84 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 85 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 86 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 87 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 88 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 89 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 8A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 8B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 8C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 8D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 8E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 8F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 90 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 91 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 92 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 93 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 94 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 95 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 96 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 97 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 98 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 99 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 9A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 9B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 9C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 9D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 9E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 9F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A1 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A6 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A7 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A8 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 A9 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 AA 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 AB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 AC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 AD 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 AE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 AF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B1 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B6 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B7 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B8 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 B9 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 BA 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 BB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 BC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 BD 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 BE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 BF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C1 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C6 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C7 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C8 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 C9 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 CA 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 CB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 CC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 CD 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 CE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 CF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D1 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D7 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D8 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 D9 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 DA 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 DB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 DC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 DD 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 DE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 DF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E1 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E6 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E7 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E8 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 E9 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 EA 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 EB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 EC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 ED 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 EE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 EF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F0 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F1 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F2 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F3 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F4 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F5 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F6 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F7 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F8 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 F9 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 FA 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 FB 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 FC 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 FD 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 FE 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 01 FF 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 00 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 01 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 02 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 03 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 04 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 05 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 06 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 07 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 08 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 09 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 0A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 0B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 0C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 0D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 0E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 0F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 10 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 11 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 12 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 13 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 14 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 15 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 16 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 17 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 18 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 19 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 1A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 1B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 1C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 1D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 1E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 1F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 20 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 21 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 22 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 23 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 24 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 25 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 26 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 27 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 28 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 29 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 2A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 2B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 2C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 2D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 2E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 2F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 30 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 31 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 32 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 33 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 34 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 35 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 36 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 37 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 38 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 39 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 3A 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 3B 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 3C 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 3D 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 3E 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 3F 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 40 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 41 00 00 00 00 
00 FF FF 00 17 0C 22 93 00 00 04 00 00 17 02 42 00 00 00 00 
